AGNO;RBD;DGV_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_ENSE;COD_GRADO;MRUN;PROM_NOTAS_ALU;ORIGEN;ENSE_COMPLETA;MARCA_EGRESO
2021;103;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;310;1;25486859;5,9;RENDIMIENTO;0;0
2021;9472;0;13;RM;131;13130;SAN MIGUEL;131;SANTIAGO CENTRO;310;1;25501317;4,5;RENDIMIENTO;0;0
2021;1884;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;410;3;25494514;5,8;RENDIMIENTO;0;0
2021;124;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;310;1;25488811;5,6;RENDIMIENTO;0;0
2021;20478;0;2;ANTOF;22;2201;CALAMA;22;EL LOA;310;1;25489817;4,9;RENDIMIENTO;0;0
2021;9106;0;13;RM;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;410;3;25500562;4,4;RENDIMIENTO;0;0
2021;9781;0;13;RM;131;13109;LA CISTERNA;132;SANTIAGO SUR;310;2;25503350;6,4;RENDIMIENTO;0;0
2021;2109;0;6;LGBO;61;6101;RANCAGUA;61;CACHAPOAL;310;4;25485886;4,8;RENDIMIENTO;1;1
2021;10023;0;13;RM;131;13126;QUINTA NORMAL;134;SANTIAGO PONIENTE;310;1;25498817;6,6;RENDIMIENTO;0;0
2021;12242;0;13;RM;131;13124;PUDAHUEL;134;SANTIAGO PONIENTE;310;2;25492685;5;RENDIMIENTO;0;0
2021;9071;0;13;RM;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;310;2;25500747;5,7;RENDIMIENTO;0;0
2021;9646;0;13;RM;131;13131;SAN RAMÓN;132;SANTIAGO SUR;310;4;25496582;5,2;RENDIMIENTO;1;1
2021;283;0;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;610;4;25494492;6,1;RENDIMIENTO;1;1
2021;270;0;2;ANTOF;22;2203;SAN PEDRO DE ATACAMA;22;EL LOA;310;2;25485527;6,4;RENDIMIENTO;0;0
2021;10313;0;13;RM;131;13127;RECOLETA;137;SANTIAGO NORTE;310;1;25489567;4,7;RENDIMIENTO;0;0
2021;988;0;4;COQ;42;4201;ILLAPEL;43;CHOAPA;610;3;25498841;4,8;RENDIMIENTO;0;0
2021;10783;0;13;RM;135;13501;MELIPILLA;135;TALAGANTE;310;3;25499220;4,9;RENDIMIENTO;0;0
2021;9695;0;13;RM;131;13121;PEDRO AGUIRRE CERDA;131;SANTIAGO CENTRO;310;1;25496513;5,5;RENDIMIENTO;0;0
2021;97;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;410;1;25485514;5,7;RENDIMIENTO;0;0
2021;125;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;310;3;25496190;5,1;RENDIMIENTO;0;0
2021;1453;0;5;VALPO;55;5503;HIJUELAS;51;QUILLOTA;310;2;25487168;6,1;RENDIMIENTO;0;0
2021;10967;0;2;ANTOF;22;2201;CALAMA;22;EL LOA;510;3;25500898;5,7;RENDIMIENTO;0;0
2021;20478;0;2;ANTOF;22;2201;CALAMA;22;EL LOA;510;3;25487866;4,7;RENDIMIENTO;1;0
2021;9694;0;13;RM;131;13121;PEDRO AGUIRRE CERDA;131;SANTIAGO CENTRO;310;2;25495526;4,8;RENDIMIENTO;0;0
2021;10252;0;13;RM;131;13127;RECOLETA;137;SANTIAGO NORTE;310;1;25500223;5,5;RENDIMIENTO;0;0
2021;108;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;510;4;25485936;5,6;RENDIMIENTO;1;1
2021;8535;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;310;3;25504009;6,4;RENDIMIENTO;0;0
2021;10223;0;13;RM;131;13108;INDEPENDENCIA;137;SANTIAGO NORTE;310;4;25498860;6,8;RENDIMIENTO;1;1
2021;10223;0;13;RM;131;13108;INDEPENDENCIA;137;SANTIAGO NORTE;310;4;25497890;6,7;RENDIMIENTO;1;1
2021;8601;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;310;1;25488270;6,6;RENDIMIENTO;0;0
2021;9077;0;13;RM;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;310;1;25491054;6,5;RENDIMIENTO;0;0
2021;8535;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;310;1;25488191;5,8;RENDIMIENTO;0;0
2021;8510;0;13;RM;131;13127;RECOLETA;137;SANTIAGO NORTE;310;4;25499044;6,5;RENDIMIENTO;1;1
2021;124;4;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;310;2;25490438;5,8;SIGE;1;0
2021;1292;0;5;VALPO;57;5701;SAN FELIPE;52;LOS ANDES;310;1;25493407;5,9;RENDIMIENTO;0;0
2021;12961;0;2;ANTOF;22;2201;CALAMA;22;EL LOA;310;2;25501481;5,6;RENDIMIENTO;0;0
2021;10746;0;13;RM;136;13605;PEÑAFLOR;135;TALAGANTE;310;1;25494468;5,8;RENDIMIENTO;0;0
2021;255;0;2;ANTOF;22;2201;CALAMA;22;EL LOA;310;1;26148705;5,2;RENDIMIENTO;0;0
2021;8504;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;310;1;25493614;4,3;RENDIMIENTO;0;0
2021;10044;0;13;RM;131;13126;QUINTA NORMAL;134;SANTIAGO PONIENTE;310;1;25496429;6,4;RENDIMIENTO;0;0
2021;12655;0;1;TPCA;11;1107;ALTO HOSPICIO;11;IQUIQUE;510;3;25489185;4,6;RENDIMIENTO;0;0
2021;25450;0;13;RM;132;13201;PUENTE ALTO;136;CORDILLERA;310;2;25507453;5,7;RENDIMIENTO;0;0
2021;12830;0;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;410;3;25503270;4,5;RENDIMIENTO;1;0
2021;9722;0;13;RM;131;13109;LA CISTERNA;132;SANTIAGO SUR;310;3;25503511;5,4;RENDIMIENTO;1;0
2021;12504;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;310;3;25492265;5;RENDIMIENTO;0;0
2021;8506;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;410;4;25508477;5;RENDIMIENTO;1;1
2021;12242;4;13;RM;131;13124;PUDAHUEL;134;SANTIAGO PONIENTE;310;2;25485720;4,7;SIGE;1;0
2021;9377;0;13;RM;131;13110;LA FLORIDA;136;CORDILLERA;310;1;25503897;5,1;RENDIMIENTO;0;0
2021;12719;0;1;TPCA;11;1107;ALTO HOSPICIO;11;IQUIQUE;363;4;25496486;5,8;RENDIMIENTO;1;1
2021;32;0;15;AYP;151;15101;ARICA;151;ARICA;710;3;25488117;4,4;RENDIMIENTO;1;0
2021;9117;0;13;RM;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;310;2;25494212;5;SIGE;1;0
2021;8811;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;310;2;25498056;5,3;RENDIMIENTO;0;0
2021;9801;0;13;RM;131;13109;LA CISTERNA;132;SANTIAGO SUR;310;1;25504287;5,8;RENDIMIENTO;0;0
2021;2044;0;5;VALPO;56;5601;SAN ANTONIO;54;SAN ANTONIO;510;4;25524626;5;RENDIMIENTO;1;1
2021;10252;0;13;RM;131;13127;RECOLETA;137;SANTIAGO NORTE;310;1;25485652;5,1;RENDIMIENTO;0;0
2021;8488;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;310;1;25486424;4,6;RENDIMIENTO;0;0
2021;8663;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;310;1;25490652;4,5;RENDIMIENTO;0;0
2021;25322;0;13;RM;131;13110;LA FLORIDA;136;CORDILLERA;363;4;25486549;5,1;RENDIMIENTO;1;1
2021;10901;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;310;3;25486034;6,6;RENDIMIENTO;0;0
2021;9060;0;13;RM;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;610;4;25488056;5,7;RENDIMIENTO;1;1
2021;25571;0;13;RM;132;13201;PUENTE ALTO;136;CORDILLERA;310;3;25488747;5,7;RENDIMIENTO;1;0
2021;9861;0;13;RM;131;13106;ESTACIÓN CENTRAL;134;SANTIAGO PONIENTE;310;1;25488151;7;RENDIMIENTO;0;0
2021;10255;0;13;RM;131;13127;RECOLETA;137;SANTIAGO NORTE;610;4;25492372;4,6;RENDIMIENTO;1;1
2021;12632;0;1;TPCA;11;1107;ALTO HOSPICIO;11;IQUIQUE;310;1;25487844;5,4;RENDIMIENTO;0;0
2021;12632;0;1;TPCA;11;1107;ALTO HOSPICIO;11;IQUIQUE;510;4;25496817;4,9;RENDIMIENTO;1;1
2021;8507;3;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;310;2;25491868;5,8;SIGE;1;0
2021;285;0;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;310;3;25501051;4,9;RENDIMIENTO;0;0
2021;8644;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;510;3;25486941;5,1;RENDIMIENTO;0;0
2021;2105;0;6;LGBO;61;6101;RANCAGUA;61;CACHAPOAL;510;3;25491466;5,4;RENDIMIENTO;0;0
2021;8491;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;310;3;25491977;5;RENDIMIENTO;1;0
